18.12.2016. 11:22:09.5575385 DESKTOP-O49AAJO fe80::48cd:e863:caff:7151%4, fe80::cb4:3116:a276:f325%3, 10.0.2.15, 2001:0:5ef5:79fd:cb4:3116:a276:f325, 
18.12.2016. 11:25:05.7792926 DESKTOP-O49AAJO fe80::48cd:e863:caff:7151%4, fe80::cb4:3116:a276:f325%3, 10.0.2.15, 2001:0:5ef5:79fd:cb4:3116:a276:f325, 
18.12.2016. 11:25:50.0267452 DESKTOP-O49AAJO fe80::48cd:e863:caff:7151%4, fe80::cb4:3116:a276:f325%3, 10.0.2.15, 2001:0:5ef5:79fd:cb4:3116:a276:f325, 
18.12.2016. 15:31:38.9080282 DESKTOP-O49AAJO fe80::48cd:e863:caff:7151%4, fe80::30a2:23db:a276:f325%3, 10.0.2.15, 2001:0:5ef5:79fd:30a2:23db:a276:f325, 
24.1.2017. 21:17:34.9746663 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%7, 192.168.0.11, 
7.2.2017. 13:56:29.6333814 DESKTOP-F8QB65A ::1, 127.0.0.1, 
7.2.2017. 13:57:16.6538866 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 13:57:24.2972306 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 13:58:11.4254690 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 13:58:35.3618725 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:01:00.5312419 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:01:42.3837715 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:03:50.6931478 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:04:24.2702309 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:04:57.5069926 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:05:22.0230653 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:10:08.9248014 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:11:40.1669876 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 14:12:22.1233275 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:08:15.8946293 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:09:18.8555404 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:26:07.6420534 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:26:32.9262990 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:30:35.4947694 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:31:17.8283654 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:31:31.1005787 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:34:36.4293781 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:34:51.1783472 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:39:18.4804058 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:40:08.5386347 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:41:20.7424866 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:42:01.2739848 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:43:03.1577203 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:43:28.7485764 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:44:05.8563163 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:45:33.0323397 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:46:07.8122283 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 15:46:34.9568894 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:02:26.8146918 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:09:42.3559188 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:11:16.3184176 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:11:51.6354988 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:12:56.7393497 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:13:20.8374205 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:13:31.6763916 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:13:45.1054595 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:14:01.2598431 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:14:49.4944576 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:15:18.9566835 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:15:30.4029058 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:15:43.4390610 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:15:53.8637189 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:17:35.7568687 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:18:33.8859980 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:29:03.9109884 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:29:15.7909992 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:31:06.6020071 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:31:39.0496714 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:33:13.3404889 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:34:40.1684090 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:35:19.8775496 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:36:06.8617653 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 17:57:03.1380738 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:20:37.7941546 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:21:20.7817769 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:22:35.6733552 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:23:11.1033085 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:24:29.2106825 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:25:04.4726246 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:26:58.6807709 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:27:41.4520289 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:28:20.7308879 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:29:08.4323596 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:30:31.1736096 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:30:37.9222785 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:31:15.9107134 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:31:57.6808728 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:33:31.2205105 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:33:51.4044924 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:34:12.2700891 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:34:26.2360751 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:35:14.1000903 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:35:57.4532979 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:36:30.7124433 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:36:44.1285221 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:38:54.8263130 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
7.2.2017. 18:41:25.3314235 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 10.10.21.89, 
8.2.2017. 09:39:21.3114670 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:40:10.0861182 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:43:44.2747974 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:45:45.8485549 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:46:10.0490994 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:47:30.9907568 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:49:26.5297963 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:50:00.6099929 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:54:48.8200540 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:55:38.2754173 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:56:22.2507256 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:59:09.3037270 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 09:59:47.3393014 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:00:17.8815753 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:04:30.8346938 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:05:12.3294356 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:05:39.3380550 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:05:57.5149254 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:08:10.3894205 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:09:43.3107903 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:11:59.7593213 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:12:30.1552310 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:14:47.0407123 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:17:04.1707818 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:17:18.3977033 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:17:46.0866247 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:18:18.4744028 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:19:03.0604306 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 10:19:24.1890767 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:38:57.5191166 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:40:18.7131923 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:40:43.8471753 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:41:11.8739530 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:41:31.2627729 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:42:42.6157331 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:45:37.1041847 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:45:49.2346931 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:46:13.3984069 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:46:40.7107639 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:47:47.4112981 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:48:22.4082937 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:50:28.3372842 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:50:39.3073875 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:50:47.1970999 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:51:02.6839167 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:51:22.1159753 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:52:21.9913604 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:53:18.2182396 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:53:59.0151944 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:54:27.5664011 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:56:29.2785516 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:57:35.3694299 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:58:31.5609634 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:58:53.7504533 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 13:59:10.3195870 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:03:39.2943225 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:05:31.5134763 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:09:37.6882557 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:10:09.6627608 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:10:43.2627196 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:12:00.3559777 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:14:28.3194006 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:15:28.1803426 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:16:33.9209514 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:18:44.5406735 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:19:00.7106572 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:33:08.0100958 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:34:31.2126716 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:36:18.0246344 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:39:22.3545495 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:40:14.2521521 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:41:13.4559222 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:42:05.5493759 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:43:57.4154055 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:44:38.5649698 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:45:39.8280303 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:46:26.5061440 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:47:14.5452167 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:47:42.9700563 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:48:57.8066914 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:49:27.6364995 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:49:53.6081211 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:52:27.7119242 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:52:37.8934303 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:53:05.3431256 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:53:35.4935814 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:56:17.6642616 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 14:56:26.0042726 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:02:24.6986975 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:03:04.5880220 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:04:28.0536216 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:04:59.6002732 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:06:41.0647580 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:07:25.6897759 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:08:32.7721552 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:10:18.4624972 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:10:47.2887087 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:11:46.4189449 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:13:41.4074644 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:15:04.3353247 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:17:05.2212488 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:17:49.5994254 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:20:17.8644747 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:21:12.3802625 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:21:26.3105785 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:42:25.9681766 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:43:30.3225765 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:50:00.4041479 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:50:24.8674969 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:50:38.9759558 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:50:52.7367672 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 15:51:40.6892927 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 22:27:02.2318096 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
8.2.2017. 22:28:23.0554109 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 09:52:14.2769161 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:02:06.7290722 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:04:22.5553575 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:05:44.7464490 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:08:28.1400981 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:11:43.6032682 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:12:34.0663457 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:15:16.1305203 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:16:12.7764207 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:21:31.4499102 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:21:58.8419886 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:22:09.1340430 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:25:25.6904526 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:26:04.7083975 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:26:40.1118303 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:27:11.3612340 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:28:04.3646260 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
9.2.2017. 10:28:50.9136029 DESKTOP-F8QB65A fe80::dbb:2f72:ee90:666c%13, 192.168.0.11, 
